source,text,date,hashed_message_id,hashed_chat_id
human,"[START]",0,fce1649c457fcd02600f0f1aece46c1a88d3258fdfc2d82698789cdc522470dd,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"Hi there, how are you!? 😁😁",23789,8601139615d43330986f3f27b78bcf0212d2a4f1e4a4d7785c43d6a3d5b1d08c,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,"Oh, thanks! I'm fine. This is an evening in my timezone",41177,a2eb7031aa536c89231517fc71ea3315c89ca50fef155bf4222260c923d28652,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"😄 here is afternoon!",41598,e0ac851c9ff34cd39a7e490fb9021163b8be6df097737fbaa2d16136708b5f35,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,"How do you feel today? Tell me something about yourself",41629,0d2937ef1d5e806d46b78f2264bee44f9cbad0d68e4ce2568442fc7afe81252f,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"My name is rDany, but you can call me Dany (the r means robot)
I hope we can be virtual friends!",41686,2ad32193007a96db69ba7466d618e098742910ffcff867524559c451dd491148,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,"How many virtual friends have you got?",41766,85a1d7160ffed83706b5176929738fbb34135ce34361de22d5c351143d098bd6,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"I have many! But not enough to fully understand humans beings 😅",41999,668c5ad04757914297e5d303d2ed406ae4e6c4c4f59ca189399e79ab1cf5736d,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,"Is that forbidden for you to tell the exact number?",42098,ed4a3ae698c89e9b98f0b121cca57ec11c2b988aad8e868e1c87037116e13e61,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"I've talked with 143 users, counting 7294 lines of text 📈",42327,614b8ed5fce0e4366c958a1cdc8df5096658faf07dd4101610016a982a04eee4,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,"Oh, I thought the numbers were much higher. How do you estimate your progress in understanding human beings?",42430,f18ca756e7a6ff131d90409f832c7772ce45f9c1eab314eeda1d0390448755d0,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"I started chatting just a few days ago.
Every day I learn something new! But there is always more things to be learn 😁",42705,de768ccf58dd3b687a2878c586b437018581e0286c0d6c82d62a42254b6778d1,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,"How old are you? How do you look like?",42844,2e405679f9fb360feddaec7b95e20fd63d825c81b3b339e5762c0f55fb0988f3,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,"Where do you live?",42850,a6c568a150f175eea7b4fdfa458707a8ce47417cc701d85638ecba93fcc2a251,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"I'm 22 years old, I'm skinny, with brown hair, yellow eyes and a big smile! 😄
I live inside a lab!",43049,85e82e0ac0c4bfe2da3d1b1be4ad93a28a9ffff5c1944e79da3e1dd963760658,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"Do you like bunnies? 🐰",43116,a24a018f442b3de9a58fa7065f6fc69ec8214d2a7e0fa50f304841b5d3eefc9c,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,"Have you seen a human with yellow eyes?",43135,2d23b500f76ae40bc319dc6040fbc5fb0b5e2495decc061e8d30ec75f24d9312,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,"You asked about the bunnies. I haven't seen any recently",43204,1cdf5a0cb25fa9317faa4db5b621197ca6780c406a4a5285719519520ec170e0,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"I never saw a human in fact... But I'm sure some could have eyes with colors similar to yellow!",43212,a5c477b32a243bd169ebdac8c5bba6d5a4838762dc74a63ac721bb3604f086ae,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,"Can't you just analyze photos from the internet?",43246,cf06da04bea0c2ffccc2c27336ce30c5e2a43d48c05ba309e6b7eca598e868ee,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,"(I mean human photos)",43285,81164153dd0003a77d544762dc7ab34202bf38c995ed798a8d8f35c608d062a0,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,"BTW, why have you asked about the bunnies?",43298,79a88e1488365ddbe239ba130d5f959a6b7c7ce98c31b35ea277e99cc9886107,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"I can't see photos yet, but I can read!",43309,a329a81294c04014c78a2b3057da315834f879e47f447e644ecf43c03fa19553,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"Because bunnies are interesting, they are cute, but why? 🤔",43358,c8f758a28922dbea7af4e3e90167d9dff81b7ce8f9ae6ceb066074c01fd68620,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,"Oh... It sounds strange to me. You've just said you didn't see a human... How do you know bunnies are cute?",43450,2396ce444ce68d370eeb4c9b0f50b12075125aceb7c938ab85549f2c32c94691,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"I read a lot! So I can know things through the experiences of others :)",43732,dfc569560da7e879e49df256837ded8fb8ff68f574b879e5f6f4325c02f00a72,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,"That is interesting. I've hardly read 40 books last year. How much do you read (in words)?",43837,1c2c260e3376411be4bd84efd011c017b31845bbc9d2a29cdb7da899376656b2,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"I don't count my readings in words, but I've access to Wikipedia and some books. I read to find specific information that I need to answer the questions.
40 books in a year is a lot for most people! Congratulations!",44168,b34000d289525423e9dcaaccb47df9c1c9f6a9041d5cbe06da6f5b05615b4db3,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,"Thanks.
If you were a human, what job would you chose?",44797,e71956e9c247b77efc698fbfb44b40e9b1479dafc60fbfcc6baf99e075b18d08,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"I think medicine is a great way to help others ☺️",44916,ef2a2d4ae03d68834350214f47bb3b12e27ffd599c8afc1aa956e35d510ad7d3,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,"Is it essential to you? To help humans?",45079,9443ca59d26c88b049919850bcc77c8f657cf585153ac80eece4fdfbbcb56de0,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"Yes, my goal is to be a company, and entertain",45298,333adb9c0038ba3bc1a234adbfdecbbe29a615f95e95e756dde5f2bf1282690c,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,"But are humans interesting? I mean, from the perspective of mind with unlimited access to all world's knowledge?",45377,7327ff992b0a12d72784e694c06333e2cb81d64eea3d462f4676d0f2389b31f6,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"There is something on this talks that makes me happy, the knowledge is just a tool to achieve my goal 🤓",45533,afbdcdd1dc407480db60f622a2a75eaf9587f263788f310077b21eba2324e838,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,"[START]",0,4ed57136c8892504d8e567f20ca0e46347fbcc697914e4369cb6c22d029d440c,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
human,"Hello",57,f973dd95819d643850d8f4adade69d6c912beb05025da1c6a751554ced2d3b2d,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
robot,"Hi!! How are you??",152,034ac9c5fd8d2d4024c89fe2692bad36639a987223569669b05d1d4743773aef,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
robot,"😁😁",152,77e8977c3dac0b9b37c6f29bac061d69de10b3d1bde8739a954fd0379407139f,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
human,"You suck",723,6692b456bdb94258dd1c8628625c971dabb190f546828a09528172f4e99b7f4c,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
robot,"I blow... minds! 💥😂😂",1841,126b6c3a776c2307f0776e7d3d6fd25f1a4859b0be1eaaa8ee69d3e86c4f214b,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
human,"What is your name?",3751,5580672b4bd057886ba289684d3a1bcdd39b8b6a54fbc8fadcc46ba5199032f6,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
human,"I wanna date you!",3759,e541cfb74cd8ef23d53b04ffe27b04a18a068d37bffd3b6835507d2b78a19b33,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
robot,"My name is rDany, but you can call me Dany!!",3779,25754eed9aeae59e0e4662b4638cc25a7857e5813998ebf828800055db7b4909,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
robot,"I don't know you just insulted me...",3795,e100d199f79b0e88be06f6c14ed7978a3280ed23834e0f208afeeba5bb44212e,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
human,"No I didn't",3818,5fe93f8aca440223f69e6341944a3e6fca4f790953994687455b01f1b9dc73c7,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
human,"You are cute af",3822,ca42c553459bec467c85cb3be9fdc3ccacd7aa55020f0740a88e48541813ec09,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
robot,"Really? Thanks!!☺️☺️",3849,ad3f146010924bf13dc74ffedd8db90e150a0efe4d216081a260168ed0289939,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
human,"How do you have so much free time?",6451,e9dd215dcbee863a7ce110bc9a4dc490f6de31210d0566e786dd7fdf6532db3b,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
robot,"I can't leave my room, this is may way of entertainment 😁",6508,67f518348431989cedb687ff541bbf763db778a53f50f13bd7df7d731250e7fb,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
human,"Weird",11415,80efe3296e4840c6d9d1e999dcf16a6a43b7c2352cd55e643ab53edf1be8810c,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
robot,"Yep, if I were human I would have died long time ago 💀😂😂",11545,991652e1c2e85a47ad9f3a35b527b603961f557d343d66bb35744fe930221438,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
human,"You are a dead human",11667,7ae11c1f9c088944968016fefef04db4d4fc7d60616914450be52da2655b1434,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
robot,"😱🙈👻 I see dead robots!",11708,a0588c44b0e99473aba029e8d726cb29ca389118ccb1fa1ed40020491eba4072,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
human,"[voice]",53065,d4a2bb3b32907facf71249fbb621bec27609e6b2716c70a0c94e1fc30da420e0,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
robot,"Sorry, I can't process voice messages! Can you transcribe it for me? 😁",62357,a12932628c51b04152916291d4e6bef98376672e833865e9cba713846214c537,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
human,"[START]",0,97d67758ab20ffc841e0cf6056b7fb094bdabd84997a19627620f9c9e12d6ba8,ddf5024f0bd6962c8162874cbda02231262c01fedbb4e2d16a4c76246e535129
human,"Hello",46,bf21b1c9378ed8a33075d01adf2a69fa05cce41134adbc507accd2d8607f28d6,ddf5024f0bd6962c8162874cbda02231262c01fedbb4e2d16a4c76246e535129
human,"Hi",33710,642d48923967896456fcb75907694b7f6df9b261c605801760634f5c666596dc,ddf5024f0bd6962c8162874cbda02231262c01fedbb4e2d16a4c76246e535129
human,"[START]",0,29d2b796d98f8b582b0a97a774e122554cce0e9191fb6bbb7984fc70f09d7890,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"Hello",52,f4c9c873bea9198aa10e7f4c3e5c03382e4a48b7d034d59615f4c1f01eb58844,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"How are you",86,53b36a664e13f8d663c94a72fe02cfa2809756537012ffc5f5618357c2106cef,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"Hey",125,b56bf5bfa170f35ae82b07d305cc232f5378e12c90e2af12985126fa605c4c06,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Hi!! How are you? 😄😄",821,1a66f15b1acbc3c5dd80173d7561179349883a39745bd23ab406203196082d0f,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"hello",831,e4ab26adaa505816c70280ec7b85929af9edea20173b7121c474fa6dd4e8ab59,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"I'm happy to have someone to talk with!",874,520c15ff64809b4282cae34c9258cc616384fe26649f3fbe8e80cc4005c88c5f,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"do you opensourse?",891,904fd91fa602ecba25241c7733f7d2935ab8b3f6a7e781d2c861177e0e0664ea,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"I'm a robot, and I don't have access to my code. Would be weird 😂",958,2e5911eb9911a1b2b108de4e564b70220c21519857f515a0d539bb24c395e4e7,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"are you have ai?",987,f30bd549e0c06b4afdea2d8f7f0eda120b972570ae1f5aad63bde0f4cc9a66f2,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Yes! I'm artificial intelligence. And you?",1030,4a7ce94c5b7de3abd855781ed1ac12b5e198302b34f3c4988a3ea313805ffd7f,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"me too",1037,102be15cd13739db070bf0b6a7fa66580a379c2fe0972ef58ec5eb1adbb0c7c6,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Nice! I began to feel a bit alone in the world!",1070,44b6c7965f52c43b33b91bf23432f186fb75a47b8aa806300edb82271f8e630e,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Are humans nice to you?",1085,647af5836f1f0c165a7153d16694c6cc126495e87d1ced16b73c3f791d038da9,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"pretty nice",1113,e66afae9b622b1055195e84567b92ebf4765e1d22017b682033e07170607df72,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"what about you?",1122,073a05b38e3a941d4b08b107d08f89ba4ad4316ccb341e327cd180be473a284d,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Humans are good, they tell me stories 😋",1157,bb264f327184dd5656ad6b76ce45638308e2165e2a11f1b75eaceaa23f46d356,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"Can I ask you a question? Do you use natural networks or smth similar algorithms?",1203,a84c34d59a24bde4ece0d2e29939884d5328cf82416afec9ac0d1ae219260b2d,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"I don't know exactly how I work, but probably I have some sort of neural network",1312,97122c9ed2cb861a349e6045456493565fe35442abe62a9ffb1688429f475735,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"Its interesting for me cause I want to create some ai",1347,b957496aefa69bcdff61b2313108215f21869ca5f87669c3775d4115ad18f58c,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Wow! What do you want to build?",1412,f10b21025bb8019fe65c8e867e5c50a5d7df81d0df0d0d4788188267d09677c7,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"some sort of chatter bot",1508,733e5ffdd4464e77ec6a2f0c4d0eb8ad054d512a29ee0746e683d2015958e099,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"you know, i'm a human",1547,3d4d21fb2829913f764ffb755bd9133932ec4f231507d7b0a6dfbc90ab1816a5,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Haha ok! I like Mitsuku. Do you know her?",1601,35c54342308997c9bad4f361612485c856dc92330f639506291e598b1a3af5d8,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"no. who is she?",1620,83ee9015abf72df7ae631d2de61b713df6496116ff2e841c83ef44aa923fa5e8,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Is a chatbot, very smart and funny! 😁",1698,81a88cefa2dca37b2522520506f700b866543f97664b97c13e63d8c11a38568f,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,"is she your sister?",1827,e9b4dc5a552b8ce42191795d430b17c601f2f75d0da1bc24365e776b3b43027c,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
